name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Kevin Croughan,384,M-O,73.8,74,155,95,170,420,4,302.69,University Championships 2017,Cork,2017,kevin croughan,25/03/2017,23,805
Kevin McGrath,385,M-O,89.6,93,165,102.5,180,447.5,12,286.33,October Open 2017,Limerick,2017,kevin mcgrath,07/10/2017,18,1145
Kevin Plamadeala,386,M-O,92.2,93,220,152.5,245,617.5,1,389.52,March Open 2018,Sligo,2018,kevin plamadeala,10/03/2018,25,1458
Kiara Privett,387,F-O,65.2,72,65,35,85,185,10,193.64,Leinster Open 2017,Dublin,2017,kiara privett,21/01/2017,10,607
Kiera Hillary,388,F-Sen-C,51.1,52,95,45,130,270,2,341.15,Inaugural Comp,Belfast,2015,kiera hillary,30/05/2015,8,23
Kieran Larkin,389,M-O,119.8,120,207.5,130,310,647.5,2,372.41,National Championships 2017,Belfast,2017,kieran larkin,29/07/2017,14,994
Kieran Walsh,390,M-O,104.8,105,167.5,127.5,192.5,487.5,4,291.5,University Championships 2017,Cork,2017,kieran walsh,25/03/2017,23,794
Kilian Kirsch,391,M-O,90,93,160,95,205,460,9,293.66,November Open 2017,Dublin,2017,kilian kirsch,04/11/2017,16,1225
Klara Moylan,392,F-O,51.4,52,80,50,117.5,247.5,2,311.31,University Championships 2017,Cork,2017,klara moylan,25/03/2017,23,820
Kotchaphan Mai-On,393,F-O,46.6,47,80.5,60,120.5,261,1,353.18,Nationals 2018,Dublin,2018,kotchaphan mai-on,10/02/2018,15,1416
Laura Bray,394,F-O,82.5,84,100,50,115,265,6,238.49,May Open 2017,,2017,laura bray,27/05/2017,11,935
Laura Cooley,395,F-O,58.3,63,77.5,50,95,222.5,9,253.67,May Open 2017,,2017,laura cooley,27/05/2017,11,946
Laura Earley,396,F-O,69,72,107.5,52.5,125,285,6,286.38,Leinster Open 2017,Dublin,2017,laura earley,21/01/2017,10,587
Laura Hanley,397,F-O,62.8,63,110,55,140,305,3,328.35,National Championships 2017,Belfast,2017,laura hanley,29/07/2017,14,1054
Laura McCarthy,398,F-O,61.8,63,0,37.5,120,0,DQ,0,November Open 2017,Dublin,2017,laura mccarthy,04/11/2017,16,1279
Laura Swandel,399,F-O,51.8,52,60,45,105,210,1,262.57,Ulster Open 2017,Belfast,2017,laura swandel,25/02/2017,22,758
Laura Walsh,400,F-O,50.06,52,115,67.5,130,312.5,8,401.09,European Classic Championships 2017,Thisted,2017,laura walsh,12/03/2017,7,775
Lauren Elder,401,F-SR,61.8,63,107.5,50,160,317.5,3,346.01,IPF-NIPF All Irelands 2016,Belfast,2015,lauren elder,26/11/2016,9,507
Lauren Rooney,402,F-O,123.6,84+,165,88,165,418,1,332.51,Nationals 2018,Dublin,2018,lauren rooney,10/02/2018,15,1380
Leanne Keane,403,F-O,66.6,72,100,57.5,125,282.5,6,291.13,RevFit Open,Dublin,2016,leanne keane,08/10/2016,21,414
Leanne O'Sullivan,404,F-O,56.2,57,95,55,120,270,2,316.8,October Open 2017,Limerick,2017,leanne o'sullivan,07/10/2017,18,1173
Leanne Patten,405,F-O,61.2,63,80,47.5,110,237.5,6,260.77,Leinster Open 2017,Dublin,2017,leanne patten,21/01/2017,10,596
Leanne Quinn,406,F-O,61.8,63,100,47.5,120,267.5,4,291.52,October Open 2017,Limerick,2017,leanne quinn,07/10/2017,18,1174
Lee Clarke,407,M-O,73.6,74,197.5,130,222.5,550,1,397.15,October Open 2017,Limerick,2017,lee clarke,07/10/2017,18,1123
Leslie Hoare,408,F-O,82.56,84,145,90,182.5,417.5,8,375.58,5th World Classic Championships 2017,Minsk,2017,leslie hoare,15/06/2017,2,970
Levi Keavney,409,M-O,66.6,74,125,95,160,380,6,296.18,March Open 2018,Sligo,2018,levi keavney,10/03/2018,25,1447
Liam Cannon,410,M-O,81.6,83,207.5,125,210,542.5,1,365.84,March Open 2018,Sligo,2018,liam cannon,10/03/2018,25,1448
Liam Dinan,411,M-Sen-C,82.4,83,0,110,175,0,DQ,0,Novice Open 2016,,2016,liam dinan,23/01/2016,17,166
Lina O'Sullivan,412,F-O,59.6,63,125,67.5,147.5,340,1,381.03,Athlone Open,Athlone,2016,lina o'sullivan,03/09/2016,4,356
Linda Murphy,413,F-M1-C,103.4,84+,80,47.5,97.5,225,1,185.61,Boyneside Regional Championships,Drogheda,2016,linda murphy,19/06/2016,5,285
Linda O'Connor,414,F-O,71,72,105,60,127.5,292.5,5,288.18,November Open 2017,Dublin,2017,linda o'connor,04/11/2017,16,1256
Lindsey McManus,415,F-O,101.8,84+,135,70,152.5,357.5,1,296.15,March Open 2018,Sligo,2018,lindsey mcmanus,10/03/2018,25,1438
Linh Nguyen,416,F-O,60.8,63,135,62.5,137.5,335,2,369.68,National Championships 2017,Belfast,2017,linh nguyen,29/07/2017,14,1047
Lisa Carroll,417,F-O,55.8,57,82.5,45,107.5,235,3,277.28,Munster Open 2017,Limerick,2017,lisa carroll,04/02/2017,12,684
Lisa Towell,418,F-O,62.7,63,85,47.5,110,242.5,7,261.38,May Open 2017,,2017,lisa towell,27/05/2017,11,943
Lorcan Everard,419,M-O,82.6,83,230,145,247.5,622.5,8,416.71,Nationals 2018,Dublin,2018,lorcan everard,10/02/2018,15,1363
Lorna Cooney,420,F-G,58.4,63,70,40,105,215,G,244.79,Ulster Open 2017,Belfast,2017,lorna cooney,25/02/2017,22,757
Lorna O'Brien,421,F-G,74,84,117.5,62.5,140,320,G,306.8,Leinster Open 2017,Dublin,2017,lorna o'brien,21/01/2017,10,580
Lorna Ward,422,F-Sen-C,71,72,92.5,40,120,252.5,4,248.77,Novice Open 2016,,2016,lorna ward,23/01/2016,17,150
Lota Leinberga,423,F-O,55.4,57,120,60,130,310,3,367.84,December Last Chance Open 2017,Limerick,2017,lota leinberga,10/12/2017,6,1315
Louis Warren,424,M-SEN-C,69.6,74,165,115,215,495,1,372.58,National Championships 2016,Limerick,2016,louis warren,27/02/2016,13,188
Louise Kenna,425,F-SR,71.8,72,150,80,177.5,407.5,1,398.47,IPF-NIPF All Irelands 2016,Belfast,2015,louise kenna,26/11/2016,9,495
Louise Millar,426,F-O,72,72,170,103,167.5,440.5,2,429.95,Nationals 2018,Dublin,2018,louise millar,10/02/2018,15,1378
Luca Bartoloni,427,M-O,93,93,190,110,210,510,11,320.38,Munster Open 2017,Limerick,2017,luca bartoloni,04/02/2017,12,640
Lucille Rowan,428,F-O,70.8,72,107.5,45,135,287.5,2,283.8,March Open 2018,Sligo,2018,lucille rowan,10/03/2018,25,1426
Lucy Sherman,429,F-D,63.2,72,0,0,90,90,6,96.42,RevFit Bench and Deadlift,Dublin,2016,lucy sherman,09/10/2016,20,449
Lukasz Kalinski,430,M-O,73.2,74,190,120,237.5,547.5,4,396.9,Nationals 2018,Dublin,2018,lukasz kalinski,10/02/2018,15,1368
Luke Cadwell,431,M-Sen-C,91,93,172.5,110,215,497.5,8,315.84,Novice Open 2016,,2016,luke cadwell,23/01/2016,17,104
Luke Curran,432,M-O,96.8,105,232.5,137.5,245,615,5,379.38,National Championships 2017,Belfast,2017,luke curran,29/07/2017,14,1003
Lynn Privett,433,F-Sen-C,56.2,57,80,45,80,205,4,240.53,Boyneside Regional Championships,Drogheda,2016,lynn privett,19/06/2016,5,288
Maeve Cummins,434,F-O,69.6,72,120,62.5,177.5,360,1,359.57,March Open 2018,Sligo,2018,maeve cummins,10/03/2018,25,1425
Mairead Murphy,435,F-O,51.6,52,105,50,135,290,1,363.68,October Open 2017,Limerick,2017,mairead murphy,07/10/2017,18,1168
Mairead O'Sullivan,436,F-O,79.5,84,115,40,142.5,297.5,3,273.17,May Open 2017,,2017,mairead o'sullivan,27/05/2017,11,925
Marc Galligan,437,M-O,99.2,105,265,157.5,275,697.5,2,425.87,National Championships 2017,Belfast,2017,marc galligan,29/07/2017,14,986
Marc Keys,438,M-O,118.6,120,292.5,205,302.5,800,1,461.22,December Last Chance Open 2017,Limerick,2017,marc keys,10/12/2017,6,1281
Marcel Vandeweert,439,M-O,72.4,74,185,112.5,200,497.5,4,363.54,Leinster Open 2017,Dublin,2017,marcel vandeweert,21/01/2017,10,537
Margaret Higgins,440,F-G,66.2,72,0,0,0,0,DQ,0,Munster Open 2017,Limerick,2017,margaret higgins,04/02/2017,12,697
Maria Greenan,441,F-O,68.6,72,127.5,70,155,352.5,2,355.66,November Open 2017,Dublin,2017,maria greenan,04/11/2017,16,1241
Mark Comiskey,442,M-O,81.6,83,232.5,155,260,647.5,5,436.65,Nationals 2018,Dublin,2018,mark comiskey,10/02/2018,15,1355
Mark Daly,443,M-Sen-C,72.8,74,155,95,180,430,2,312.96,Boyneside Regional Championships,Drogheda,2016,mark daly,19/06/2016,5,253
Mark Dowling,444,M-O,90.8,93,240,132.5,265,637.5,1,405.17,May Open 2017,,2017,mark dowling,27/05/2017,11,878
Mark Ennis,445,M-O,83,83,170,110,195,475,8,317.06,November Open 2017,Dublin,2017,mark ennis,04/11/2017,16,1222
Mark Howe,446,M-O,103.2,105,165,120,180,465,6,279.59,RevFit Open,Dublin,2016,mark howe,08/10/2016,21,394
Mark Lacey,447,M-B,90.2,93,0,107.5,0,107.5,2,68.55,RevFit Bench and Deadlift,Dublin,2016,mark lacey,09/10/2016,20,447
Mark Lynch,448,M-Sen-C,100.2,105,170,120,235,525,3,319.25,Novice Open 2016,,2016,mark lynch,23/01/2016,17,98
Mark Murphy,449,M-Sen-C,102,105,250,185,280,715,1,431.8,Boyneside Regional Championships,Drogheda,2016,mark murphy,19/06/2016,5,228
Mark Nixon,450,M-O,92.6,93,140,80,190,410,19,258.09,Leinster Open 2017,Dublin,2017,mark nixon,21/01/2017,10,567
Mark O'Sullivan,451,M-O,80.6,83,135,75,175,385,9,261.61,May Open 2017,,2017,mark o'sullivan,27/05/2017,11,912
Mark Swayne,452,M-O,73,74,170,117.5,195,482.5,5,350.47,October Open 2017,Limerick,2017,mark swayne,07/10/2017,18,1139
Martin Reidy,453,M-O,72.4,74,190,117.5,265,572.5,3,418.34,Nationals 2018,Dublin,2018,martin reidy,10/02/2018,15,1367
Martina Hanniffy,454,F-O,54.4,57,87.5,37.5,105,230,8,276.83,December Last Chance Open 2017,Limerick,2017,martina hanniffy,10/12/2017,6,1329
Mary Brennan,455,F-D,59.8,63,0,0,140,140,2,156.49,RevFit Bench and Deadlift,Dublin,2016,mary brennan,09/10/2016,20,432
Mary Looby,456,F-O,54,57,67.5,37.5,100,205,2,248.17,March Open 2018,Sligo,2018,mary looby,10/03/2018,24,1422
Mary Mullins,457,F-D,82.8,84,0,0,130,130,5,116.78,RevFit Bench and Deadlift,Dublin,2016,mary mullins,09/10/2016,20,438
Matthew Coppinger,458,M-O,117,120,187.5,120,220,527.5,2,305.14,November Open 2017,Dublin,2017,matthew coppinger,04/11/2017,16,1209
Matthew Henry,459,M-O,82.6,83,240,130,255,625,4,418.39,National Championships 2017,Belfast,2017,matthew henry,29/07/2017,14,1000
Matthew Walsh,460,M-O,71.2,74,165,97.5,195,457.5,2,338.47,September Open 2017,Dublin,2017,matthew walsh,02/09/2017,22,1077
Medb Murtagh,461,F-Sen-C,53.6,57,120,65,140,325,1,395.73,Boyneside Regional Championships,Drogheda,2016,medb murtagh,19/06/2016,5,266
Megan Dunlea O'Brien,462,F-O,99,84+,110,47.5,130,287.5,5,240.09,October Open 2017,Limerick,2017,megan dunlea o'brien,07/10/2017,18,1170
Mel Barry,463,F-G,67,72,90,37.5,125,252.5,G,259.09,Munster Open 2017,Limerick,2017,mel barry,04/02/2017,12,680
Michael Bruce,464,M-SEN-C,102.4,105,285,162.5,300,747.5,1,450.76,National Championships 2016,Limerick,2016,michael bruce,27/02/2016,13,168
Michael Chisholm,465,M-O,112.5,120,185,147.5,220,552.5,2,322.99,May Open 2017,,2017,michael chisholm,27/05/2017,11,889
Michael Corcoran,466,M-O,94.6,105,190,105,215,510,5,317.84,March Open 2018,Sligo,2018,michael corcoran,10/03/2018,25,1472
Michael Grace,467,M-O,87,93,207.5,132.5,240,580,2,376.93,December Last Chance Open 2017,Limerick,2017,michael grace,10/12/2017,6,1291
Michael Kiely,468,M-O,89.4,93,217.5,132.5,242.5,592.5,4,379.55,October Open 2017,Limerick,2017,michael kiely,07/10/2017,18,1112
Michael Moran,469,M-G,83.3,83,160,90,210,460,G,306.4,September Open 2017,Dublin,2017,michael moran,02/09/2017,22,1076
Michael O'Shea,470,M-O,99.8,105,207.5,125,210,542.5,3,330.42,University Championships 2017,Cork,2017,michael o'shea,25/03/2017,23,788
Michael Parry-Jones,471,M-O,100.8,105,187.5,115,205,507.5,4,307.89,Ulster Open 2017,Belfast,2017,michael parry-jones,25/02/2017,22,714
Michael Whelan,472,M-O,143.5,120+,110,95,160,365,2,203.23,December Last Chance Open 2017,Limerick,2017,michael whelan,10/12/2017,6,1310
Michael Worthington,473,M-O,101,105,167.5,122.5,210,500,5,303.1,Ulster Open 2017,Belfast,2017,michael worthington,25/02/2017,22,719
Micheal Carroll,474,M-O,80.8,83,125,85,185,395,13,267.99,University Championships 2017,Cork,2017,micheal carroll,25/03/2017,23,811
Michelle Barron,475,F-D,71,72,0,0,125,125,2,123.16,RevFit Bench and Deadlift,Dublin,2016,michelle barron,09/10/2016,20,440
Michelle Kickham,476,F-Z,52,52,55,30,85,170,G,211.93,RevFit Open,Dublin,2016,michelle kickham,08/10/2016,21,424
Michelle Thompson,477,F-D,71.8,72,0,0,115,115,4,112.45,RevFit Bench and Deadlift,Dublin,2016,michelle thompson,09/10/2016,20,444
Miranda Connolly,478,F-O,121.1,84+,110,82.5,115,307.5,3,245.5,May Open 2017,,2017,miranda connolly,27/05/2017,11,920
Miriam Ward,479,F-U23-C,61.4,63,97.5,50,115,262.5,3,287.5,Open Championships,Dublin,2015,miriam ward,08/08/2015,19,74
Moataz Abujennah,480,M-O,58.4,59,140,82.5,155,377.5,3,330.12,Nationals 2018,Dublin,2018,moataz abujennah,10/02/2018,15,1392
Mohaned Abujennah,481,M-O,65.6,66,172.5,112.5,222.5,507.5,2,400.49,Nationals 2018,Dublin,2018,mohaned abujennah,10/02/2018,15,1373
Monika Laskowska,482,F-O,52,52,80,42.5,100,222.5,2,277.38,November Open 2017,Dublin,2017,monika laskowska,04/11/2017,16,1270
Muhammad Danyal,483,M-O,79.2,83,197.5,145,207.5,550,7,377.89,Munster Open 2017,Limerick,2017,muhammad danyal,04/02/2017,12,633
Natalie Lyness,484,F-O,88.4,84+,115,70,145,330,3,287.33,March Open 2018,Sligo,2018,natalie lyness,10/03/2018,25,1440
Nathan Keenan,485,M-O,90.6,93,210,115,205,530,1,337.22,RevFit Open,Dublin,2016,nathan keenan,08/10/2016,21,390
Nathanial Stewart,486,M-U23-C,104.3,105,210,100,270,580,1,347.4,Inaugural Comp,Belfast,2015,nathanial stewart,30/05/2015,8,6
Neil Colfer,487,M-O,80.6,83,140,90,180,410,2,278.6,December Last Chance Open 2017,Limerick,2017,neil colfer,10/12/2017,6,1305
Niall O'Donoghue,488,M-G,110,120,175,120,205,500,G,294.25,October Open 2017,Limerick,2017,niall o'donoghue,07/10/2017,18,1134
Niamh Doyle,489,F-O,82,84,135,62.5,140,337.5,7,304.71,Nationals 2018,Dublin,2018,niamh doyle,10/02/2018,15,1404
Nicola Cogley,490,F-G,75,84,77.5,45,92.5,215,G,204.39,May Open 2017,,2017,nicola cogley,27/05/2017,11,951
Nicola Corcoran,491,F-O,63,63,102.5,57.5,135,295,3,316.82,Leinster Open 2017,Dublin,2017,nicola corcoran,21/01/2017,10,585
Nicola Paviglianiti,492,F-D,56,57,0,0,152.5,152.5,1,179.43,RevFit Bench and Deadlift,Dublin,2016,nicola paviglianiti,09/10/2016,20,430
Nicola Phelan,493,F-G,57.4,63,60,42.5,105,207.5,G,239.47,October Open 2017,Limerick,2017,nicola phelan,07/10/2017,18,1186
Nicole Craig,494,F-O,82.2,84,120,62.5,162.5,345,2,311.08,May Open 2017,,2017,nicole craig,27/05/2017,11,917
Nicole Fraser,495,F-Sen-C,68.4,72,150,80,160,390,1,394.31,Inaugural Comp,Belfast,2015,nicole fraser,30/05/2015,8,16
Nigel Chambers,496,M-Sen-C,95.8,105,210,112.5,250,572.5,1,354.78,Novice Open 2016,,2016,nigel chambers,23/01/2016,17,87
Nigel Pearson,497,M-O,93,93,222.5,120,252.5,595,3,373.77,October Open 2017,Limerick,2017,nigel pearson,07/10/2017,18,1111
Noel Whelan,498,M-O,63.6,66,192.5,125.5,202.5,520.5,1,421.61,ABS Club Championship 2016,Dublin,2016,noel whelan,02/04/2016,3,836
Noreen McDermott,499,F-SR,55.4,57,85,60,130,275,2,326.31,IPF-NIPF All Irelands 2016,Belfast,2015,noreen mcdermott,26/11/2016,9,510
Oisin Kelly,500,M-O,84.2,93,155,85,167.5,407.5,16,269.73,Athlone Open,Athlone,2016,oisin kelly,03/09/2016,4,346
Oliver Smith,501,M-U23-C,103.6,105,200,140,210,550,2,330.24,Novice Open 2016,,2016,oliver smith,23/01/2016,17,91
Olivia Donohoe,502,F-O,53.2,57,52.5,27.5,77.5,157.5,4,192.9,University Championships 2017,Cork,2017,olivia donohoe,25/03/2017,23,828
Orla Ennis,503,F-Sen-C,75.4,84,105,45,127.5,277.5,3,262.93,Open Championships,Dublin,2015,orla ennis,08/08/2015,19,70
Owen Slattery,504,M-B,73.2,74,0,125,0,125,1,90.62,RevFit Bench and Deadlift,Dublin,2016,owen slattery,09/10/2016,20,441
Pamela Boyle,505,F-O,66.6,72,85,40,130,255,6,262.79,Ulster Open 2017,Belfast,2017,pamela boyle,25/02/2017,22,748
Patricia Leane,506,F-O,56.4,57,47.5,35,107.5,190,5,222.31,Munster Open 2017,Limerick,2017,patricia leane,04/02/2017,12,691
Patrick Clancy,507,M-O,99,105,177.5,100,180,457.5,7,279.56,March Open 2018,Sligo,2018,patrick clancy,10/03/2018,25,1474
Patrick McLaughlin,508,M-O,112.6,120,142.5,112.5,190,445,5,260.08,November Open 2017,Dublin,2017,patrick mclaughlin,04/11/2017,16,1229
Paul Berry,509,M-SR,80.6,83,200,130,200,530,5,360.14,IPF-NIPF All Irelands 2016,Belfast,2015,paul berry,26/11/2016,9,487
Paul Hennessy,510,M-O,90.2,93,180,122.5,212.5,515,8,328.4,March Open 2018,Sligo,2018,paul hennessy,10/03/2018,25,1465
Paul Keely,511,M-O,82.2,83,202.5,122.5,217.5,542.5,6,364.22,Athlone Open,Athlone,2016,paul keely,03/09/2016,4,317
Paul Kelly,512,M-O,91.6,93,187.5,112.5,185,485,8,306.91,November Open 2017,Dublin,2017,paul kelly,04/11/2017,16,1220
Paul Lowry,513,M-O,86.2,93,137.5,80,150,367.5,11,240.05,November Open 2017,Dublin,2017,paul lowry,04/11/2017,16,1237
Paul McClaren,514,M-M1-C,66,66,120,80,190,390,1,306.23,Open Championships,Dublin,2015,paul mcclaren,08/08/2015,19,54
Paul McLaren,515,M-O,66,66,160,92.5,240,492.5,1,386.71,November Open 2017,Dublin,2017,paul mclaren,04/11/2017,16,1216
Paul O'Hare,516,M-O,98.4,105,225,125,250,600,3,367.56,RevFit Open,Dublin,2016,paul o'hare,08/10/2016,21,384
Paul Reddin,517,M-O,80.2,83,152.5,82.5,207.5,442.5,11,301.62,University Championships 2017,Cork,2017,paul reddin,25/03/2017,23,803
Paul Taaffe,518,M-O,103.4,105,195,142.5,205,542.5,3,325.96,May Open 2017,,2017,paul taaffe,27/05/2017,11,892
Paul Treanor,519,M-O,81.2,83,132.5,85,160,377.5,4,255.34,Ulster Open 2017,Belfast,2017,paul treanor,25/02/2017,22,731
Paulina Pawlak,520,F-G,79.2,84,75,47.5,115,237.5,G,218.55,December Last Chance Open 2017,Limerick,2017,paulina pawlak,10/12/2017,6,1327
Pawel Stachurski,521,M-Sen-C,113.2,120,230,192.5,280,702.5,1,409.95,Open Championships,Dublin,2015,pawel stachurski,08/08/2015,19,29
Pearce Maloney,522,M-O,83,83,172.5,105,202.5,480,7,320.4,November Open 2017,Dublin,2017,pearce maloney,04/11/2017,16,1221
Pearl Mackey,523,F-O,59.8,63,100,50,125,275,6,307.39,November Open 2017,Dublin,2017,pearl mackey,04/11/2017,16,1260
Pearse Tohill,524,M-O,91.2,93,205,107.5,272.5,585,4,370.99,March Open 2018,Sligo,2018,pearse tohill,10/03/2018,25,1461
Peter Elliott,525,M-M1-C,80.6,83,155,85,200,440,1,298.98,Boyneside Regional Championships,Drogheda,2016,peter elliott,19/06/2016,5,252
Peter Lawrence,526,M-U23-C,91.8,93,162.5,125,212.5,500,3,316.06,Open Championships,Dublin,2015,peter lawrence,08/08/2015,19,43
Philip Barr,527,M-O,71.8,74,216,145,222.5,583.5,2,429,Nationals 2018,Dublin,2018,philip barr,10/02/2018,15,1366
Philip Bridgeman,528,M-O,102.8,105,192.5,125,222.5,540,3,325.16,Munster Open 2017,Limerick,2017,philip bridgeman,04/02/2017,12,635
Pierre Shillingford,529,M-G,91.4,93,250,175,307.5,732.5,G,464.03,December Last Chance Open 2017,Limerick,2017,pierre shillingford,10/12/2017,6,1282
Rachel Cassidy,530,F-O,72.6,84,90,47.5,140,277.5,4,269.37,October Open 2017,Limerick,2017,rachel cassidy,07/10/2017,18,1171
Rachel Curley,531,F-O,109.1,84+,0,50,120,0,DQ,0,September Open 2017,Dublin,2017,rachel curley,02/09/2017,22,1099
Rachel Knight,532,F-O,62,63,75,45,97.5,217.5,11,236.45,May Open 2017,,2017,rachel knight,27/05/2017,11,950
Rebecca Bennett,533,F-O,61.2,63,120,52.5,125,297.5,3,326.65,November Open 2017,Dublin,2017,rebecca bennett,04/11/2017,16,1253
Rebecca Hoban,534,F-O,65.4,72,85,55,105,245,9,255.87,Ulster Open 2017,Belfast,2017,rebecca hoban,25/02/2017,22,752
Rebecca Kidney,535,F-O,74.2,84,75,35,110,220,7,210.56,May Open 2017,,2017,rebecca kidney,27/05/2017,11,948
Rebecca Mckeefry,536,F-O,108.6,84+,95,57.5,157.5,310,3,252.75,November Open 2017,Dublin,2017,rebecca mckeefry,04/11/2017,16,1251
Rebekah Wilson,537,F-G,77.8,84,115,42.5,157.5,315,G,292.86,Ulster Open 2017,Belfast,2017,rebekah wilson,25/02/2017,22,737
Rehana Maniar,538,F-M1-C,60.8,63,97.5,57.5,135,290,1,320.02,Open Championships,Dublin,2015,rehana maniar,08/08/2015,19,64
Reuben Clarke,539,M-JR,72.4,74,162.5,140,200,502.5,2,367.19,IPF-NIPF All Irelands 2016,Belfast,2015,reuben clarke,26/11/2016,9,491
Richard Burke,540,M-O,71.4,74,160,115,175,450,3,332.22,University Championships 2017,Cork,2017,richard burke,25/03/2017,23,801
Richard Maher,541,M-O,87.8,93,190,122.5,240,552.5,5,357.29,March Open 2018,Sligo,2018,richard maher,10/03/2018,25,1462
Richie Maher,542,M-O,87.4,93,185,117.5,235,537.5,8,348.45,May Open 2017,,2017,richie maher,27/05/2017,11,894
Rob Burke,543,M-O,134.8,120+,230,132.5,250,612.5,2,344.29,May Open 2017,,2017,rob burke,27/05/2017,11,881
Rob Parnell,544,M-O,91.8,93,150,90,170,410,18,259.17,Leinster Open 2017,Dublin,2017,rob parnell,21/01/2017,10,566
Robbie Bennett,545,M-U23-C,71.4,72,140,95,200,435,2,321.15,Novice Open 2016,,2016,robbie bennett,23/01/2016,17,115
Robert John McCurtin,546,M-O,70.6,74,137.5,0,160,0,DQ,0,Athlone Open,Athlone,2016,robert john mccurtin,03/09/2016,4,379
Robert Newman,547,M-SR,135,120+,257.5,167.5,275,700,1,393.38,IPF-NIPF All Irelands 2016,Belfast,2015,robert newman,26/11/2016,9,469
Robert Parnell,548,M-O,91.9,93,160,97.5,180,437.5,13,276.41,May Open 2017,,2017,robert parnell,27/05/2017,11,907
Roisin Dowling,549,F-O,62.4,63,102.5,52.5,130,285,4,308.31,Leinster Open 2017,Dublin,2017,roisin dowling,21/01/2017,10,586
Rory Girvan,550,M-SEN-C,90.2,93,262.5,162.5,290,715,2,455.94,National Championships 2016,Limerick,2016,rory girvan,27/02/2016,13,173
Rourke Byrne,551,M-O,88.2,93,170,100,220,490,7,316.11,November Open 2017,Dublin,2017,rourke byrne,04/11/2017,16,1217
Ruth Allen,552,F-O,62.8,63,80,40,115,235,9,252.99,Munster Open 2017,Limerick,2017,ruth allen,04/02/2017,12,685
Ryan Beatty,553,M-O,92.4,93,220,120,220,560,2,352.88,Ulster Open 2017,Belfast,2017,ryan beatty,25/02/2017,22,709
Ryan Finlay,554,M-O,70.6,74,202.5,127.5,217.5,547.5,1,407.64,March Open 2018,Sligo,2018,ryan finlay,10/03/2018,25,1442
Ryan Ging,555,M-O,82.8,83,205,125,225,555,4,370.99,October Open 2017,Limerick,2017,ryan ging,07/10/2017,18,1122
Ryan Gorevan,556,M-O,94.8,105,190,102.5,190,482.5,6,300.42,March Open 2018,Sligo,2018,ryan gorevan,10/03/2018,25,1473
Ryan Lee,557,M-O,72.4,74,172.5,107.5,215,495,2,361.71,March Open 2018,Sligo,2018,ryan lee,10/03/2018,25,1443
Sam Fischer,558,M-O,91.6,93,210,140,210,560,6,354.37,Leinster Open 2017,Dublin,2017,sam fischer,21/01/2017,10,528
Sam McLoughlin,559,M-Sen-C,114.4,120,170,147.5,240,557.5,2,324.39,Open Championships,Dublin,2015,sam mcloughlin,08/08/2015,19,35
Sam Mitchell,560,M-O,82,83,180,130,215,525,2,352.99,Ulster Open 2017,Belfast,2017,sam mitchell,25/02/2017,22,713
Sam Stewart,561,M-Sen-C,82.6,83,187.5,135,215,537.5,3,359.81,Novice Open 2016,,2016,sam stewart,23/01/2016,17,96
Sandra Coyne,562,F-O,62.6,63,55,42.5,115,212.5,9,229.32,November Open 2017,Dublin,2017,sandra coyne,04/11/2017,16,1272
Sandra Hammersley,563,F-O,61.4,63,97.5,55,155,307.5,2,336.78,Ulster Open 2017,Belfast,2017,sandra hammersley,25/02/2017,22,739
Sara Bauer,564,F-O,71,72,165,57.5,175,397.5,1,391.64,November Open 2017,Dublin,2017,sara bauer,04/11/2017,16,1233
Sarah Daly,565,F-O,87.6,84+,122.5,62.5,152.5,337.5,4,295.04,Nationals 2018,Dublin,2018,sarah daly,10/02/2018,15,1405
Sarah Doyle,566,F-O,82.2,84,142.5,57.5,162.5,362.5,7,326.86,National Championships 2017,Belfast,2017,sarah doyle,29/07/2017,14,1040
Sarah Flynn,567,F-O,55.6,57,115,52.5,145,312.5,2,369.76,December Last Chance Open 2017,Limerick,2017,sarah flynn,10/12/2017,6,1314
Sarah Gardiner,568,F-O,97.2,84+,140.5,75.5,150,366,2,307.4,Nationals 2018,Dublin,2018,sarah gardiner,10/02/2018,15,1394
Sarah Hayden,569,F-O,56.6,57,90,50,107.5,247.5,3,288.79,November Open 2017,Dublin,2017,sarah hayden,04/11/2017,16,1268
Sarah Jane Devaney,570,F-O,58.8,63,82.5,35,100,217.5,7,246.33,October Open 2017,Limerick,2017,sarah jane devaney,07/10/2017,18,1184
Sarah Patterson,571,F-SR,44.2,47,65,40,112.5,217.5,1,305.33,IPF-NIPF All Irelands 2016,Belfast,2015,sarah patterson,26/11/2016,9,512
Sarah Scallan,572,F-O,56.8,57,100,65,135,300,7,349.08,Nationals 2018,Dublin,2018,sarah scallan,10/02/2018,15,1414
Sarah Walsh,573,F-G,54.8,57,70,35,82.5,187.5,G,224.39,University Championships 2017,Cork,2017,sarah walsh,25/03/2017,23,826
Scott Dean,574,M-O,103,105,270,140,282.5,692.5,2,416.68,Nationals 2018,Dublin,2018,scott dean,10/02/2018,15,1340
Scott Webb,575,M-O,82.8,83,245,150,275,670,2,447.87,Nationals 2018,Dublin,2018,scott webb,10/02/2018,15,1345
