name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Darren Enright,182,M-O,74,74,170,0,207.5,0,DQ,0,Munster Open 2017,Limerick,2017,darren enright,04/02/2017,11,695
Margaret Higgins,440,F-G,66.2,72,0,0,0,0,DQ,0,Munster Open 2017,Limerick,2017,margaret higgins,04/02/2017,11,697
Ursula O'Sullivan,659,F-O,64.6,72,90,47.5,0,0,DQ,0,Munster Open 2017,Limerick,2017,ursula o'sullivan,04/02/2017,11,698
Arthur Lynch,60,M-O,90.2,93,247.5,170,300,717.5,1,457.53,Ulster Open 2017,Belfast,2017,arthur lynch,25/02/2017,21,699
Sean Crowe,580,M-O,134.5,120+,240,145,310,695,1,390.81,Ulster Open 2017,Belfast,2017,sean crowe,25/02/2017,21,700
Andy Mooney,51,M-E,103.4,105,245,177.5,230,652.5,1,392.06,Ulster Open 2017,Belfast,2017,andy mooney,25/02/2017,21,701
Dean Salmon,205,M-O,95,105,220,160,240,620,1,385.66,Ulster Open 2017,Belfast,2017,dean salmon,25/02/2017,21,702
Paul O'Hare,516,M-O,105,105,220,130,252.5,602.5,2,360.03,Ulster Open 2017,Belfast,2017,paul o'hare,25/02/2017,21,703
Ben Harrison,68,M-O,116.2,120,215,150,232.5,597.5,1,346.23,Ulster Open 2017,Belfast,2017,ben harrison,25/02/2017,21,704
Daniel McHugh,169,M-O,99.6,105,205,127.5,250,582.5,3,355.07,Ulster Open 2017,Belfast,2017,daniel mchugh,25/02/2017,21,705
Philip Barr,527,M-O,73.4,74,212.5,145,222.5,580,1,419.63,Ulster Open 2017,Belfast,2017,philip barr,25/02/2017,21,706
Ian Benson,293,M-G,93.4,105,195,135,245,575,G,360.48,Ulster Open 2017,Belfast,2017,ian benson,25/02/2017,21,707
Jonny Gardner,361,M-O,82.6,83,192.5,142.5,232.5,567.5,1,379.9,Ulster Open 2017,Belfast,2017,jonny gardner,25/02/2017,21,708
Ryan Beatty,553,M-O,92.4,93,220,120,220,560,2,352.88,Ulster Open 2017,Belfast,2017,ryan beatty,25/02/2017,21,709
James Rutledge,324,M-O,91.6,93,195,142.5,215,552.5,3,349.62,Ulster Open 2017,Belfast,2017,james rutledge,25/02/2017,21,710
David Nolan,199,M-O,91.4,93,200,122.5,220,542.5,4,343.66,Ulster Open 2017,Belfast,2017,david nolan,25/02/2017,21,711
Danny Lennon,174,M-O,73.2,74,187.5,120,222.5,530,2,384.21,Ulster Open 2017,Belfast,2017,danny lennon,25/02/2017,21,712
Sam Mitchell,560,M-O,82,83,180,130,215,525,2,352.99,Ulster Open 2017,Belfast,2017,sam mitchell,25/02/2017,21,713
Michael Parry-Jones,471,M-O,100.8,105,187.5,115,205,507.5,4,307.89,Ulster Open 2017,Belfast,2017,michael parry-jones,25/02/2017,21,714
Louis Warren,424,M-O,71.6,74,177.5,117.5,210,505,3,372.05,Ulster Open 2017,Belfast,2017,louis warren,25/02/2017,21,715
Sean Ferran,583,M-O,71.2,74,185,115,202.5,502.5,4,371.76,Ulster Open 2017,Belfast,2017,sean ferran,25/02/2017,21,716
Daniel McAuley,168,M-O,72.2,74,180,120,202.5,502.5,5,367.94,Ulster Open 2017,Belfast,2017,daniel mcauley,25/02/2017,21,717
Peter Lawrence,526,M-O,92.8,93,165,122.5,215,502.5,5,315.99,Ulster Open 2017,Belfast,2017,peter lawrence,25/02/2017,21,718
Michael Worthington,473,M-O,101,105,167.5,122.5,210,500,5,303.1,Ulster Open 2017,Belfast,2017,michael worthington,25/02/2017,21,719
Matthew Coppinger,458,M-O,114.8,120,167.5,122.5,202.5,492.5,2,286.3,Ulster Open 2017,Belfast,2017,matthew coppinger,25/02/2017,21,720
Chris Clarke,98,M-O,72,74,167.5,100,205,472.5,6,346.68,Ulster Open 2017,Belfast,2017,chris clarke,25/02/2017,21,721
James McSorley,322,M-O,72.8,74,162.5,97.5,190,450,7,327.51,Ulster Open 2017,Belfast,2017,james mcsorley,25/02/2017,21,722
Thomas McKenna,644,M-O,82.2,83,150,110,190,450,3,302.12,Ulster Open 2017,Belfast,2017,thomas mckenna,25/02/2017,21,723
Daryl Draper,186,M-O,91.6,93,160,100,190,450,6,284.76,Ulster Open 2017,Belfast,2017,daryl draper,25/02/2017,21,724
Chris Dawson,99,M-O,100.6,105,140,95,200,435,6,264.11,Ulster Open 2017,Belfast,2017,chris dawson,25/02/2017,21,725
Ciaran Murray,118,M-O,64.6,66,170,82.5,180,432.5,1,345.71,Ulster Open 2017,Belfast,2017,ciaran murray,25/02/2017,21,726
Louise Millar,426,F-O,70.8,72,162.5,85,172.5,420,1,414.6,Ulster Open 2017,Belfast,2017,louise millar,25/02/2017,21,727
Clare Patterson,129,F-O,71.6,72,132.5,100,155,387.5,2,379.62,Ulster Open 2017,Belfast,2017,clare patterson,25/02/2017,21,728
Jonathan Connolly,359,M-O,55,59,125,95,160,380,1,352.13,Ulster Open 2017,Belfast,2017,jonathan connolly,25/02/2017,21,729
Kevin Campbell,383,M-O,71.2,74,130,90,160,380,8,281.13,Ulster Open 2017,Belfast,2017,kevin campbell,25/02/2017,21,730
Paul Treanor,519,M-O,81.2,83,132.5,85,160,377.5,4,255.34,Ulster Open 2017,Belfast,2017,paul treanor,25/02/2017,21,731
Alison O'Reilly,31,F-O,80,84,135,75,140,350,1,320.25,Ulster Open 2017,Belfast,2017,alison o'reilly,25/02/2017,21,732
Donna Cassley,211,F-O,96.8,84+,125,60,160,345,1,290.16,Ulster Open 2017,Belfast,2017,donna cassley,25/02/2017,21,733
Carrie Carmichael,91,F-O,69,72,125,47.5,170,342.5,3,344.16,Ulster Open 2017,Belfast,2017,carrie carmichael,25/02/2017,21,734
Linh Nguyen,416,F-O,62,63,135,62.5,135,332.5,1,361.46,Ulster Open 2017,Belfast,2017,linh nguyen,25/02/2017,21,735
Kathleen Scully,376,F-O,83.4,84,125,60,140,325,2,290.86,Ulster Open 2017,Belfast,2017,kathleen scully,25/02/2017,21,736
Rebekah Wilson,537,F-G,77.8,84,115,42.5,157.5,315,G,292.86,Ulster Open 2017,Belfast,2017,rebekah wilson,25/02/2017,21,737
Katharine Teggarty,375,F-O,54.8,57,100,52.5,155,307.5,1,368,Ulster Open 2017,Belfast,2017,katharine teggarty,25/02/2017,21,738
Sandra Hammersley,563,F-O,61.4,63,97.5,55,155,307.5,2,336.78,Ulster Open 2017,Belfast,2017,sandra hammersley,25/02/2017,21,739
Heather Thompson,289,F-O,95,84+,125,57.5,125,307.5,2,260.27,Ulster Open 2017,Belfast,2017,heather thompson,25/02/2017,21,740
Donna Ivie,213,F-O,102.8,84+,110,67.5,125,302.5,3,249.92,Ulster Open 2017,Belfast,2017,donna ivie,25/02/2017,21,741
Aeilish McGovern,10,F-O,56.4,57,105,55,140,300,2,351.02,Ulster Open 2017,Belfast,2017,aeilish mcgovern,25/02/2017,21,742
Karen McCormack,367,F-O,70,72,112.5,60,125,297.5,4,295.97,Ulster Open 2017,Belfast,2017,karen mccormack,25/02/2017,21,743
Danielle Gault,172,F-O,69.2,72,100,60,130,290,5,290.81,Ulster Open 2017,Belfast,2017,danielle gault,25/02/2017,21,744
Joanne Fitzgerald,344,F-O,62.4,63,110,47.5,117.5,275,3,297.49,Ulster Open 2017,Belfast,2017,joanne fitzgerald,25/02/2017,21,745
Miranda Connolly,478,F-O,121.6,84+,90,80,100,270,4,215.4,Ulster Open 2017,Belfast,2017,miranda connolly,25/02/2017,21,746
Tara Maguire,638,F-G,62.8,63,97.5,50,115,262.5,G,282.59,Ulster Open 2017,Belfast,2017,tara maguire,25/02/2017,21,747
Pamela Boyle,505,F-O,66.6,72,85,40,130,255,6,262.79,Ulster Open 2017,Belfast,2017,pamela boyle,25/02/2017,21,748
Tess Keeler,642,F-O,69.4,72,82.5,42.5,130,255,7,255.2,Ulster Open 2017,Belfast,2017,tess keeler,25/02/2017,21,749
Emma Moore,236,F-O,71.8,72,85,45,125,255,8,249.35,Ulster Open 2017,Belfast,2017,emma moore,25/02/2017,21,750
Catherine Higgs,93,F-O,106.4,84+,90,52.5,110,252.5,5,206.83,Ulster Open 2017,Belfast,2017,catherine higgs,25/02/2017,21,751
Rebecca Hoban,534,F-O,65.4,72,85,55,105,245,9,255.87,Ulster Open 2017,Belfast,2017,rebecca hoban,25/02/2017,21,752
Elaine Clarke,222,F-O,67.8,72,80,47.5,100,227.5,10,231.46,Ulster Open 2017,Belfast,2017,elaine clarke,25/02/2017,21,753
Emma Keyes,234,F-O,62.2,63,80,40,100,220,4,238.58,Ulster Open 2017,Belfast,2017,emma keyes,25/02/2017,21,754
Laura Cooley,395,F-O,58.2,63,80,45,92.5,217.5,5,248.3,Ulster Open 2017,Belfast,2017,laura cooley,25/02/2017,21,755
Terri Knightley,641,F-O,66.8,72,75,42.5,100,217.5,11,223.66,Ulster Open 2017,Belfast,2017,terri knightley,25/02/2017,21,756
Lorna Cooney,420,F-G,58.4,63,70,40,105,215,G,244.79,Ulster Open 2017,Belfast,2017,lorna cooney,25/02/2017,21,757
Laura Swandel,399,F-O,51.8,52,60,45,105,210,1,262.57,Ulster Open 2017,Belfast,2017,laura swandel,25/02/2017,21,758
Grace Kelly,280,F-O,60.4,63,102.5,60,0,0,DQ,0,Ulster Open 2017,Belfast,2017,grace kelly,25/02/2017,21,759
Barry Pigott,66,M-O,92.44,93,262.6,200,282.5,745,5,469.35,European Classic Championships 2017,Thisted,2017,barry pigott,12/03/2017,6,760
Kenneth Nwaezeigwe,381,M-JR,91.54,93,242.5,137.5,265,645,12,408.29,European Classic Championships 2017,Thisted,2017,kenneth nwaezeigwe,12/03/2017,6,761
Adam Keane,6,M-O,82.34,83,247.5,130,262.5,640,16,429.25,European Classic Championships 2017,Thisted,2017,adam keane,12/03/2017,6,762
Mark Comiskey,442,M-O,79.94,83,225,150,247.5,622.5,19,425.17,European Classic Championships 2017,Thisted,2017,mark comiskey,12/03/2017,6,763
Shane Corbett,592,M-JR,90.1,93,220,132.5,260,612.5,14,390.14,European Classic Championships 2017,Thisted,2017,shane corbett,12/03/2017,6,764
Lorcan Everard,419,M-JR,79.72,83,222.5,127.5,250,600,12,410.52,European Classic Championships 2017,Thisted,2017,lorcan everard,12/03/2017,6,765
Jordan Konczak,362,M-JR,81.96,83,207.5,130,220,557.5,14,374.988,European Classic Championships 2017,Thisted,2017,jordan konczak,12/03/2017,6,766
Dylan Potter,218,M-SJR,57.36,59,147.5,100,175,422.5,2,375.81,European Classic Championships 2017,Thisted,2017,dylan potter,12/03/2017,6,767
Bronagh McPeake,80,F-O,62.1,63,157.5,77.5,180,415,6,450.61,European Classic Championships 2017,Thisted,2017,bronagh mcpeake,12/03/2017,6,768
Shannon Pollock,598,F-O,71.06,72,155,75,170,400,6,393.88,European Classic Championships 2017,Thisted,2017,shannon pollock,12/03/2017,6,769
Karen Barry,365,F-O,69.74,72,150,82.5,157.5,390,7,388.99,European Classic Championships 2017,Thisted,2017,karen barry,12/03/2017,6,770
Lauren Rooney,402,F-O,116.1,84+,147.5,82.5,160,390,8,313.75,European Classic Championships 2017,Thisted,2017,lauren rooney,12/03/2017,6,771
Claire Mc Glynn,125,F-O,62.76,63,142.5,67.5,160,370,7,398.53,European Classic Championships 2017,Thisted,2017,claire mc glynn,12/03/2017,6,772
Aoife O'Sullivan,57,F-JR,62.36,63,122.5,60,157.5,340,7,376.98,European Classic Championships 2017,Thisted,2017,aoife o'sullivan,12/03/2017,6,773
Suzanne Gray,632,F-JR,69.46,72,122.5,70,145,337.5,9,337.57,European Classic Championships 2017,Thisted,2017,suzanne gray,12/03/2017,6,774
Laura Walsh,400,F-O,50.06,52,115,67.5,130,312.5,8,401.09,European Classic Championships 2017,Thisted,2017,laura walsh,12/03/2017,6,775
Amy Donoghue,34,F-JR,56.1,57,107.5,52.5,142.5,302.5,8,355.44,European Classic Championships 2017,Thisted,2017,amy donoghue,12/03/2017,6,776
Emily Mazilu,232,F-JR,54.36,57,112.5,52.5,127.5,292.5,9,352.86,European Classic Championships 2017,Thisted,2017,emily mazilu,12/03/2017,6,777
Colin Eustace,135,M-O,85.8,93,220,132.5,280,632.5,1,414.21,University Championships 2017,Cork,2017,colin eustace,25/03/2017,22,778
Tochukwu Anachebe,646,M-O,89.2,93,220,130,250,600,2,384.8,University Championships 2017,Cork,2017,tochukwu anachebe,25/03/2017,22,779
Steve Roche,626,M-O,91.2,93,242.5,107.5,245,595,3,377.33,University Championships 2017,Cork,2017,steve roche,25/03/2017,22,780
Sean Hickey,586,M-O,115.6,120,215,140,227.5,582.5,1,338,University Championships 2017,Cork,2017,sean hickey,25/03/2017,22,781
Gavin Dillon,271,M-O,78.4,83,210,130,240,580,1,401.12,University Championships 2017,Cork,2017,gavin dillon,25/03/2017,22,782
Brian Madden,77,M-O,91.4,93,190,117.5,255,562.5,4,356.33,University Championships 2017,Cork,2017,brian madden,25/03/2017,22,783
Sean Greavy,584,M-O,101.8,105,195,135,230,560,1,338.44,University Championships 2017,Cork,2017,sean greavy,25/03/2017,22,784
Billy Ahern,75,M-O,103.8,105,182.5,122.5,252.5,557.5,2,334.5,University Championships 2017,Cork,2017,billy ahern,25/03/2017,22,785
Darren Horgan,185,M-O,80.6,83,187.5,122.5,240,550,2,373.73,University Championships 2017,Cork,2017,darren horgan,25/03/2017,22,786
Jack Cashman,305,M-O,88.8,93,180,130,240,550,5,353.55,University Championships 2017,Cork,2017,jack cashman,25/03/2017,22,787
Michael O'Shea,470,M-O,99.8,105,207.5,125,210,542.5,3,330.42,University Championships 2017,Cork,2017,michael o'shea,25/03/2017,22,788
Conor Devilly,145,M-O,75,83,180,130,215,525,3,374.09,University Championships 2017,Cork,2017,conor devilly,25/03/2017,22,789
Darren Enright,182,M-O,76.4,83,175,132.5,207.5,515,4,362.34,University Championships 2017,Cork,2017,darren enright,25/03/2017,22,790
Eoin Jefferies,238,M-O,77.4,83,175,115,215,505,5,352.22,University Championships 2017,Cork,2017,eoin jefferies,25/03/2017,22,791
Eoin Long,239,M-O,81.2,83,157.5,117.5,220,495,6,334.82,University Championships 2017,Cork,2017,eoin long,25/03/2017,22,792
Shane O'Carroll,596,M-O,90.4,93,160,115,215,490,6,312.11,University Championships 2017,Cork,2017,shane o'carroll,25/03/2017,22,793
Kieran Walsh,390,M-O,104.8,105,167.5,127.5,192.5,487.5,4,291.5,University Championships 2017,Cork,2017,kieran walsh,25/03/2017,22,794
Bernard O'Reilly,72,M-O,78.8,83,162.5,120,200,482.5,7,332.59,University Championships 2017,Cork,2017,bernard o'reilly,25/03/2017,22,795
Tadhg Devlin,635,M-O,78.6,83,165,105,207.5,477.5,8,329.69,University Championships 2017,Cork,2017,tadhg devlin,25/03/2017,22,796
Gavin Hicks,272,M-O,80.8,83,172.5,102.5,195,470,9,318.88,University Championships 2017,Cork,2017,gavin hicks,25/03/2017,22,797
Conor O'Driscoll,154,M-O,80.2,83,160,92.5,205,457.5,10,311.84,University Championships 2017,Cork,2017,conor o'driscoll,25/03/2017,22,798
Adam Loughnane,7,M-O,72.2,74,155,95,205,455,1,333.16,University Championships 2017,Cork,2017,adam loughnane,25/03/2017,22,799
Mark Swayne,452,M-O,73.6,74,162.5,107.5,185,455,2,328.55,University Championships 2017,Cork,2017,mark swayne,25/03/2017,22,800
Richard Burke,540,M-O,71.4,74,160,115,175,450,3,332.22,University Championships 2017,Cork,2017,richard burke,25/03/2017,22,801
Dylan Potter,218,M-O,61,66,150,106,187.5,443.5,1,372.63,University Championships 2017,Cork,2017,dylan potter,25/03/2017,22,802
Paul Reddin,517,M-O,80.2,83,152.5,82.5,207.5,442.5,11,301.62,University Championships 2017,Cork,2017,paul reddin,25/03/2017,22,803
Dara Lawler,175,M-O,85,93,142.5,87.5,200,430,7,283.09,University Championships 2017,Cork,2017,dara lawler,25/03/2017,22,804
Kevin Croughan,384,M-O,73.8,74,155,95,170,420,4,302.69,University Championships 2017,Cork,2017,kevin croughan,25/03/2017,22,805
Callum McCormack,82,M-O,72.4,74,162.5,82.5,172.5,417.5,5,305.08,University Championships 2017,Cork,2017,callum mccormack,25/03/2017,22,806
Fergal O'Connor,255,M-O,71.4,74,150,80,185,415,6,306.38,University Championships 2017,Cork,2017,fergal o'connor,25/03/2017,22,807
Thomas O'Rourke,645,M-O,77.4,83,140,85,175,400,12,278.98,University Championships 2017,Cork,2017,thomas o'rourke,25/03/2017,22,808
Alan O'Doherty,24,M-O,72.6,74,130,82.5,185,397.5,7,289.88,University Championships 2017,Cork,2017,alan o'doherty,25/03/2017,22,809
Gavin Bolger,268,M-O,115.6,120,145,82.5,170,397.5,2,230.65,University Championships 2017,Cork,2017,gavin bolger,25/03/2017,22,810
Micheal Carroll,474,M-O,80.8,83,125,85,185,395,13,267.99,University Championships 2017,Cork,2017,micheal carroll,25/03/2017,22,811
Ewan Mullane,251,M-O,65,66,137.5,90,155,382.5,2,304.16,University Championships 2017,Cork,2017,ewan mullane,25/03/2017,22,812
Joe Scholefield,348,M-G,59.2,66,125,72.5,150,347.5,G,300.05,University Championships 2017,Cork,2017,joe scholefield,25/03/2017,22,813
Aoife O'Sullivan,57,F-O,62.2,63,120,57.5,160,337.5,1,366,University Championships 2017,Cork,2017,aoife o'sullivan,25/03/2017,22,814
Caoimhe Ryan,85,F-G,77.2,84,122.5,65,137.5,325,G,303.55,University Championships 2017,Cork,2017,caoimhe ryan,25/03/2017,22,815
Freya Hammer,260,F-O,71,72,110,62.5,122.5,295,1,290.65,University Championships 2017,Cork,2017,freya hammer,25/03/2017,22,816
Shannon Hooi,597,F-O,61.6,63,95,52.5,122.5,270,2,294.98,University Championships 2017,Cork,2017,shannon hooi,25/03/2017,22,817
Mairead Murphy,435,F-O,51.6,52,90,42.5,125,257.5,1,322.93,University Championships 2017,Cork,2017,mairead murphy,25/03/2017,22,818
Jean Kelly,331,F-O,55.6,57,87.5,42.5,120,250,1,295.81,University Championships 2017,Cork,2017,jean kelly,25/03/2017,22,819
Klara Moylan,392,F-O,51.4,52,80,50,117.5,247.5,2,311.31,University Championships 2017,Cork,2017,klara moylan,25/03/2017,22,820
Chere Duffy,95,F-O,56.4,57,72.5,52.5,120,245,2,286.66,University Championships 2017,Cork,2017,chere duffy,25/03/2017,22,821
Lota Leinberga,423,F-O,60.4,63,95,50,100,245,3,271.75,University Championships 2017,Cork,2017,lota leinberga,25/03/2017,22,822
Ainul Fatihah Mohd Sharir,16,F-O,50.4,52,67.5,55,110,232.5,3,296.88,University Championships 2017,Cork,2017,ainul fatihah mohd sharir,25/03/2017,22,823
Isabel Brown,296,F-O,54.2,57,75,40,100,215,3,259.53,University Championships 2017,Cork,2017,isabel brown,25/03/2017,22,824
Rachel Knight,532,F-O,61.8,63,62.5,40,87.5,190,4,207.06,University Championships 2017,Cork,2017,rachel knight,25/03/2017,22,825
Sarah Walsh,573,F-G,54.8,57,70,35,82.5,187.5,G,224.39,University Championships 2017,Cork,2017,sarah walsh,25/03/2017,22,826
Isabel Puente Lozano,297,F-O,61.2,63,60,37.5,87.5,185,5,203.13,University Championships 2017,Cork,2017,isabel puente lozano,25/03/2017,22,827
Olivia Donohoe,502,F-O,53.2,57,52.5,27.5,77.5,157.5,4,192.9,University Championships 2017,Cork,2017,olivia donohoe,25/03/2017,22,828
Aine McCarthy,15,F-O,71.2,72,25,35,70,130,2,127.84,University Championships 2017,Cork,2017,aine mccarthy,25/03/2017,22,829
Eoin O'Leary,241,M-O,127.3,120+,250,160,255,665,1,377.59,May Open 2017,,2017,eoin o'leary,27/05/2017,10,876
John Maher,354,M-O,82.7,83,235,145,277.5,657.5,1,439.83,May Open 2017,,2017,john maher,27/05/2017,10,877
Mark Dowling,444,M-O,90.8,93,240,132.5,265,637.5,1,405.17,May Open 2017,,2017,mark dowling,27/05/2017,10,878
Ian Benson,293,M-O,92.3,93,220,137.5,260,617.5,2,389.31,May Open 2017,,2017,ian benson,27/05/2017,10,879
Darragh Hayes,178,M-O,110.8,120,215,140,260,615,1,361.13,May Open 2017,,2017,darragh hayes,27/05/2017,10,880
Rob Burke,543,M-O,134.8,120+,230,132.5,250,612.5,2,344.29,May Open 2017,,2017,rob burke,27/05/2017,10,881
Darragh Mulcahy,180,M-O,82.3,83,210,140,250,600,2,402.53,May Open 2017,,2017,darragh mulcahy,27/05/2017,10,882
Dan Hurley,165,M-O,89.7,93,210,122.5,260,592.5,3,378.89,May Open 2017,,2017,dan hurley,27/05/2017,10,883
Brian Madden,77,M-O,90.5,93,202.5,112.5,265,580,4,369.23,May Open 2017,,2017,brian madden,27/05/2017,10,884
Jack Thornton,310,M-O,91.8,93,205,122.5,250,577.5,5,365.05,May Open 2017,,2017,jack thornton,27/05/2017,10,885
Luke Curran,432,M-O,97,105,202.5,130,240,572.5,1,352.85,May Open 2017,,2017,luke curran,27/05/2017,10,886
Stephen Manning,622,M-O,100.5,105,200,120,240,560,2,340.14,May Open 2017,,2017,stephen manning,27/05/2017,10,887
Alan Flanagan,23,M-O,82.8,83,182.5,127.5,247.5,557.5,3,372.66,May Open 2017,,2017,alan flanagan,27/05/2017,10,888
Michael Chisholm,465,M-O,112.5,120,185,147.5,220,552.5,2,322.99,May Open 2017,,2017,michael chisholm,27/05/2017,10,889
Michael Grace,467,M-O,91.1,93,190,130,230,550,6,348.98,May Open 2017,,2017,michael grace,27/05/2017,10,890
Ian Wafer,295,M-O,81.4,83,190,112.5,240,542.5,4,366.39,May Open 2017,,2017,ian wafer,27/05/2017,10,891
Paul Taaffe,518,M-O,103.4,105,195,142.5,205,542.5,3,325.96,May Open 2017,,2017,paul taaffe,27/05/2017,10,892
James Lynch,320,M-O,87.7,93,200,120,220,540,7,349.42,May Open 2017,,2017,james lynch,27/05/2017,10,893
Richie Maher,542,M-O,87.4,93,185,117.5,235,537.5,8,348.45,May Open 2017,,2017,richie maher,27/05/2017,10,894
Gary Bourke,264,M-O,92.7,93,185,120,220,525,9,330.31,May Open 2017,,2017,gary bourke,27/05/2017,10,895
Eoin Jefferies,238,M-O,78.7,83,180,122.5,215,517.5,5,357.01,May Open 2017,,2017,eoin jefferies,27/05/2017,10,896
Silvano Senn,605,M-O,92,93,165,112.5,222.5,500,10,315.73,May Open 2017,,2017,silvano senn,27/05/2017,10,897
Brendan Geraghty,76,M-O,90.7,93,185,107.5,195,487.5,11,310,May Open 2017,,2017,brendan geraghty,27/05/2017,10,898
Jason Finan,330,M-O,72.9,74,167.5,112.5,205,485,1,352.63,May Open 2017,,2017,jason finan,27/05/2017,10,899
Damian Christie,162,M-O,90.9,93,172.5,117.5,195,485,12,308.07,May Open 2017,,2017,damian christie,27/05/2017,10,900
Farzad Azizi,253,M-O,81.1,83,162.5,130,190,482.5,6,326.61,May Open 2017,,2017,farzad azizi,27/05/2017,10,901
Brian McIntyre,78,M-O,80.7,83,160,95,222.5,477.5,7,324.22,May Open 2017,,2017,brian mcintyre,27/05/2017,10,902
David Moran,198,M-O,99.1,105,160,102.5,212.5,475,4,290.14,May Open 2017,,2017,david moran,27/05/2017,10,903
Colm Curley,139,M-O,71.9,74,180,90,200,470,2,345.2,May Open 2017,,2017,colm curley,27/05/2017,10,904
Conor O'Shea,155,M-O,110.5,120,175,85,192.5,452.5,3,265.93,May Open 2017,,2017,conor o'shea,27/05/2017,10,905
JP McGowan,364,M-O,72.6,74,160,90,200,450,3,328.17,May Open 2017,,2017,jp mcgowan,27/05/2017,10,906
Robert Parnell,548,M-O,91.9,93,160,97.5,180,437.5,13,276.41,May Open 2017,,2017,robert parnell,27/05/2017,10,907
Kevin McGrath,385,M-O,87.3,93,150,100,170,420,14,272.44,May Open 2017,,2017,kevin mcgrath,27/05/2017,10,908
Jared O'Sullivan,327,M-O,71.6,74,135,107.5,152.5,395,4,291.01,May Open 2017,,2017,jared o'sullivan,27/05/2017,10,909
Adrian Mullins,9,M-O,79.6,83,117.5,87.5,190,395,8,270.52,May Open 2017,,2017,adrian mullins,27/05/2017,10,910
Ulick O'Sullivan,658,M-O,101.7,105,142.5,87.5,165,395,5,238.81,May Open 2017,,2017,ulick o'sullivan,27/05/2017,10,911
Mark O'Sullivan,451,M-O,80.6,83,135,75,175,385,9,261.61,May Open 2017,,2017,mark o'sullivan,27/05/2017,10,912
Eric Killeen,243,M-O,79.8,83,127.5,95,160,382.5,10,261.55,May Open 2017,,2017,eric killeen,27/05/2017,10,913
Aoife O'Leary,56,F-O,83,84,150,50,180,380,1,340.92,May Open 2017,,2017,aoife o'leary,27/05/2017,10,914
John Hayes,352,M-O,89,93,130,80,150,360,15,231.15,May Open 2017,,2017,john hayes,27/05/2017,10,915
Jack Noone,307,M-O,72.8,74,127.5,75,147.5,350,5,254.73,May Open 2017,,2017,jack noone,27/05/2017,10,916
Nicole Craig,494,F-O,82.2,84,120,62.5,162.5,345,2,311.08,May Open 2017,,2017,nicole craig,27/05/2017,10,917
Heather Thompson,289,F-O,94.3,84+,130,62.5,135,327.5,1,277.92,May Open 2017,,2017,heather thompson,27/05/2017,10,918
Tracey Kelly,654,F-O,101.2,84+,110,55,142.5,307.5,2,255.15,May Open 2017,,2017,tracey kelly,27/05/2017,10,919
Miranda Connolly,478,F-O,121.1,84+,110,82.5,115,307.5,3,245.5,May Open 2017,,2017,miranda connolly,27/05/2017,10,920
Laura Hanley,397,F-O,62.7,63,107.5,55,140,302.5,1,326.05,May Open 2017,,2017,laura hanley,27/05/2017,10,921
James Moran,323,M-O,72.6,74,95,70,135,300,6,218.78,May Open 2017,,2017,james moran,27/05/2017,10,922
Dawn Murphy O'Shea,204,F-O,61.7,63,112.5,45,140,297.5,2,324.62,May Open 2017,,2017,dawn murphy o'shea,27/05/2017,10,923
Tara Maguire,638,F-O,61.8,63,115,57.5,125,297.5,3,324.21,May Open 2017,,2017,tara maguire,27/05/2017,10,924
Mairead O'Sullivan,436,F-O,79.5,84,115,40,142.5,297.5,3,273.17,May Open 2017,,2017,mairead o'sullivan,27/05/2017,10,925
Aisling Fahy,17,F-O,101.7,84+,100,60,135,295,4,244.44,May Open 2017,,2017,aisling fahy,27/05/2017,10,926
Sarah Scallan,572,F-O,56.1,57,100,62.5,130,292.5,1,343.68,May Open 2017,,2017,sarah scallan,27/05/2017,10,927
Eleanor McShortall,227,F-O,70,72,105,62.5,125,292.5,1,290.99,May Open 2017,,2017,eleanor mcshortall,27/05/2017,10,928
Joanne Greene,346,F-O,70.9,72,105,60,125,290,2,285.99,May Open 2017,,2017,joanne greene,27/05/2017,10,929
Amy Hughes,36,F-O,81.2,84,92.5,52.5,130,275,4,249.58,May Open 2017,,2017,amy hughes,27/05/2017,10,930
Megan Dunlea O'Brien,462,F-G,94.5,84+,105,45,125,275,G,233.19,May Open 2017,,2017,megan dunlea o'brien,27/05/2017,10,931
Sophie Renshaw,614,F-O,79.1,84,90,55,127.5,272.5,5,250.93,May Open 2017,,2017,sophie renshaw,27/05/2017,10,932
Rachel Cassidy,530,F-O,69.6,72,90,47.5,130,267.5,3,267.18,May Open 2017,,2017,rachel cassidy,27/05/2017,10,933
Amy O'Gara,38,F-O,70,72,87.5,50,127.5,265,4,263.63,May Open 2017,,2017,amy o'gara,27/05/2017,10,934
Laura Bray,394,F-O,82.5,84,100,50,115,265,6,238.49,May Open 2017,,2017,laura bray,27/05/2017,10,935
Joanne Gibbons,345,F-O,62.3,63,97.5,47.5,117.5,262.5,4,284.32,May Open 2017,,2017,joanne gibbons,27/05/2017,10,936
Tracey Fitzmaurice,653,F-O,61.7,63,90,52.5,117.5,260,5,283.7,May Open 2017,,2017,tracey fitzmaurice,27/05/2017,10,937
Sinead Vallely,612,F-O,68.8,72,75,55,127.5,257.5,5,259.27,May Open 2017,,2017,sinead vallely,27/05/2017,10,938
